id,Channel_Name,Channel_Id,Comment_Id,Comment_Text,Comment_Author,Comment_PublishedAt,Video_Id
21,AcademicEnglishHelp,UCQ3A7Dnyz1_Fxaa5BCzAPMA,Comment_Id_1,"I don’t see „exceptional“ vocabulary, she’s doing great, no offense, but not exceptional imo. but if 3-bedroom detached house and spare time count as that, so be it.",Anna,2023-06-21 15:57:05,Yow13z6Yex8
22,AcademicEnglishHelp,UCQ3A7Dnyz1_Fxaa5BCzAPMA,Comment_Id_2,i got 8 in my ielts speaking and i was just natural. These answers don&#39;t make sense to me to be honest. if someone asks me where do i live i won&#39;t feel natural answering it like &quot;i live in a 5 bedroom semi detached house in a small town in ---- which is the capital of ----. &quot;,FAM_mommy,2023-06-19 22:56:22,Yow13z6Yex8
23,AcademicEnglishHelp,UCQ3A7Dnyz1_Fxaa5BCzAPMA,Comment_Id_3,"Always I seeing you interview Indian speao , I would like to listen different Indian accent around the World",Thomas20 Khayavong,2023-06-18 02:50:23,Yow13z6Yex8
24,AcademicEnglishHelp,UCQ3A7Dnyz1_Fxaa5BCzAPMA,Comment_Id_4,WHY  MUST SHE EXPOSE HER PRIVATE ADDRESS???,Lolita *Betty Boo*,2023-06-11 07:14:28,Yow13z6Yex8
25,Apna College,UCBwmMxybNva6P_5VmxjzwqA,Comment_Id_1,When Microsoft Doesn&#39;t Want to Hire You 😂,DEEPAK,2023-06-18 18:35:01,uoE5wQGCAwY
26,Apna College,UCBwmMxybNva6P_5VmxjzwqA,Comment_Id_2,Balls man balls 🌚,Mr. Someone,2023-06-17 10:39:17,uoE5wQGCAwY
27,Apna College,UCBwmMxybNva6P_5VmxjzwqA,Comment_Id_3,Hindi me and kyo nhi batate bhai,BAJHA FAMASH,2023-06-16 06:37:25,uoE5wQGCAwY
28,Apna College,UCBwmMxybNva6P_5VmxjzwqA,Comment_Id_4,Legends can say which one is the lightest by lifting the balls from their hands only. No need to weigh 😎,Chandan Pandit,2023-06-15 12:29:21,uoE5wQGCAwY
29,Apna College,UCBwmMxybNva6P_5VmxjzwqA,Comment_Id_5,"Bring a bucket of water and just put all 9 ,the one which is least merged is the lighter one",Siddharth Singh,2023-06-12 09:00:47,uoE5wQGCAwY
30,Prasadtechintelugu,UCb-xXZ7ltTvrh9C6DgB9H-Q,Comment_Id_1,Both are not working now 😢,Doradla's talks,2023-06-21 20:59:25,Xa5zhco-0Z0
31,Prasadtechintelugu,UCb-xXZ7ltTvrh9C6DgB9H-Q,Comment_Id_2,Eyecon app vaduthunna indulo vastada,Balu photography,2023-06-20 14:36:58,Xa5zhco-0Z0
32,Prasadtechintelugu,UCb-xXZ7ltTvrh9C6DgB9H-Q,Comment_Id_3,"Anna nenu okka call ni receive cheskuna, kani aa call record cheyadam marchipoya, kani naku aa call record kavali anna. Emmana idea unte cheppu anna",Mani Kanta,2023-06-19 12:54:16,Xa5zhco-0Z0
33,Prasadtechintelugu,UCb-xXZ7ltTvrh9C6DgB9H-Q,Comment_Id_4,Both are not working,dhanunjay allu,2023-06-19 11:04:36,Xa5zhco-0Z0
34,Prasadtechintelugu,UCb-xXZ7ltTvrh9C6DgB9H-Q,Comment_Id_5,Hiiii bro naku very ph lo calls na ph ki ravali and WhatsApp msg plz cheptara,santosh chembolu,2023-06-19 04:04:15,Xa5zhco-0Z0
35,Harsha Sai - For You Telugu,UCWEqIFOOjmL_olrETpSnGOQ,Comment_Id_1,Your my goal sir your the real hero,Thommundru Shailu123,2023-06-22 15:52:11,1t6BriJjvI8
36,Harsha Sai - For You Telugu,UCWEqIFOOjmL_olrETpSnGOQ,Comment_Id_2,Hii Anna na peru vishnu ma family chala peda family ma amma ku health problem vendi anna ma nana thaguthadu please anna ma home verigipoindi anna kavalnte ma home chupistha anna please 300000,vishnubanavath cheru uthanda,2023-06-20 14:06:07,1t6BriJjvI8
37,Harsha Sai - For You Telugu,UCWEqIFOOjmL_olrETpSnGOQ,Comment_Id_3,Superb bro 🎉🎉🎉🎉🎉❤❤❤,MATYADA PARAMESHWAR,2023-06-19 11:07:35,1t6BriJjvI8
